Account,Month,Trx,# Speaker Programs,# Calls,# PDE,# Emails,# Clicks,# Samples
A1B012,1,2991,1,1,9,29,13,12
A1B012,2,10000,5,8,11,39,25,81
A1B012,3,7896,3,21,12,40,28,212
A1B012,4,6987,7,16,12,42,31,193
A1B012,5,3502,6,1,10,34,18,22
A1B012,6,3290,7,8,11,40,27,89
A1B012,7,7822,10,12,12,42,31,153
A1B012,8,10000,7,1,10,34,18,22
A1B012,9,5853,8,1,10,35,19,24
A1B012,10,6619,8,1,10,35,19,24
A1B012,11,4524,7,8,11,40,27,89
A1B012,12,5541,7,12,12,41,29,140
A1B012,13,????,5,1,10,33,17,20
A1B012,14,????,5,8,11,39,25,81
A1B012,15,????,7,8,11,40,27,89
A1B012,16,????,5,12,12,40,28,132
A1B012,17,????,3,1,10,32,16,19
A1B012,18,????,6,8,11,39,25,81
A2B012,1,3029,5,1,10,33,17,20
A2B012,2,6655,8,1,10,35,19,24
A2B012,3,2852,4,1,10,33,17,20
A2B012,4,5513,5,1,10,33,17,20
A2B012,5,2727,8,16,12,42,31,193
A2B012,6,4773,4,1,10,33,17,20
A2B012,7,5005,5,18,12,41,29,195
A2B012,8,7564,3,12,11,39,25,108
A2B012,9,3979,10,1,11,35,20,29
A2B012,10,3142,10,1,11,35,20,29
A2B012,11,7717,8,1,10,35,19,24
A2B012,12,5116,3,1,10,32,16,19
A2B012,13,????,7,1,10,34,18,22
A2B012,14,????,7,1,10,34,18,22
A2B012,15,????,7,1,10,34,18,22
A2B012,16,????,3,12,11,39,25,108
A2B012,17,????,4,1,10,33,17,20
A2B012,18,????,6,19,12,42,31,225
A3B012,1,660,0,1,9,23,8,6
A3B012,2,660,0,1,9,23,8,6
A3B012,3,660,0,1,9,23,8,6
A3B012,4,660,0,1,9,23,8,6
A3B012,5,660,0,1,9,23,8,6
A3B012,6,660,0,1,9,23,8,6
A3B012,7,660,1,1,9,29,13,12
A3B012,8,660,1,1,9,29,13,12
A3B012,9,660,0,1,9,23,8,6
A3B012,10,660,1,1,9,29,13,12
A3B012,11,660,0,1,9,23,8,6
A3B012,12,660,0,1,9,23,8,6
