# A,B,C,D,E,F
2.332537111502635526e+03,2.774599523122894425e+03,2.984646300198735844e+03,2.886105943780209600e+03,2.090610214240422465e+03,2.876398850128250160e+03
2.575390242172281432e+03,2.575390242172281432e+03,2.575390242172281432e+03,2.775053981337245204e+03,2.230737784497279790e+03,3.423813661219241112e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.843772691958879022e+03,2.384208954936921600e+03,1.949556410576131611e+03,1.843772691958879022e+03,2.528967692230947250e+03,2.775053981337245204e+03
2.332537111502635526e+03,2.230737784497279790e+03,1.949556410576131611e+03,2.888648756405968925e+03,2.775053981337245204e+03,2.332537111502635526e+03
2.090610214240422465e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,2.230737784497279790e+03,1.843772691958879022e+03,2.230737784497279790e+03,2.090610214240422465e+03,2.230737784497279790e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,2.775053981337245204e+03,1.843772691958879022e+03,3.250427873629127134e+03,2.575094422648275213e+03,2.888648756405968925e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,2.575094422648275213e+03,2.575094422648275213e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,2.474457216646895176e+03,2.630767019236302531e+03,1.949556410576131611e+03,2.342185476692411612e+03,1.843772691958879022e+03
1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.090610214240422465e+03,1.843772691958879022e+03,1.843772691958879022e+03,2.332537111502635526e+03,1.843772691958879022e+03,2.332537111502635526e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.686600843305591297e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.090610214240422465e+03,2.090610214240422465e+03,1.949556410576131611e+03,3.263849599547547768e+03,2.934826161370746377e+03,2.934826161370746377e+03
2.090610214240422465e+03,2.332537111502635526e+03,2.775053981337245204e+03,2.090610214240422465e+03,1.473640151406104906e+03,2.230737784497279790e+03
2.090610214240422465e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,2.090610214240422465e+03,1.843772691958879022e+03,2.342185476692411612e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.777386718516640940e+03,2.342185476692411612e+03,1.473640151406104906e+03
2.090610214240422465e+03,2.775053981337245204e+03,2.090610214240422465e+03,2.332537111502635526e+03,1.843772691958879022e+03,2.342185476692411612e+03
2.893044035846595762e+03,1.473640151406104906e+03,2.777386718516640940e+03,2.893044035846595762e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,2.090610214240422465e+03,1.473640151406104906e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.473640151406104906e+03
3.052335945515568710e+03,2.090610214240422465e+03,2.090610214240422465e+03,3.143307033775710806e+03,1.949556410576131611e+03,1.843772691958879022e+03
2.474457216646895176e+03,2.777386718516640940e+03,2.876853308342600030e+03,2.090610214240422465e+03,1.843772691958879022e+03,1.843772691958879022e+03
2.332537111502635526e+03,1.949556410576131611e+03,2.775053981337245204e+03,2.332537111502635526e+03,2.090610214240422465e+03,1.949556410576131611e+03
2.342185476692411612e+03,2.342185476692411612e+03,2.474457216646895176e+03,2.528967692230947250e+03,2.474457216646895176e+03,2.575094422648275213e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03,2.730932450044600046e+03,2.775053981337245204e+03,2.777386718516640940e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03
2.737845679713715072e+03,3.378609525667874550e+03,1.473640151406104906e+03,2.686600843305591297e+03,2.321168443078373002e+03,3.270562452407025376e+03
2.384208954936921600e+03,1.949556410576131611e+03,2.774599523122894425e+03,2.474457216646895176e+03,1.949556410576131611e+03,2.090610214240422465e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
1.843772691958879022e+03,2.474457216646895176e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03
2.230737784497279790e+03,1.949556410576131611e+03,2.090610214240422465e+03,2.774843905890881615e+03,2.230737784497279790e+03,2.090610214240422465e+03
2.090610214240422465e+03,1.843772691958879022e+03,2.090610214240422465e+03,2.230737784497279790e+03,2.893044035846595762e+03,1.949556410576131611e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.888648756405968925e+03,1.949556410576131611e+03,2.474457216646895176e+03,2.384208954936921600e+03,2.686600843305591297e+03,1.949556410576131611e+03
2.474457216646895176e+03,2.893044035846595762e+03,2.774843905890881615e+03,1.843772691958879022e+03,2.994843362851951497e+03,2.774843905890881615e+03
2.342185476692411612e+03,2.332537111502635526e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.949556410576131611e+03
2.629369010635785799e+03,3.245106360781066542e+03,2.332537111502635526e+03,2.332537111502635526e+03,2.090610214240422465e+03,2.090610214240422465e+03
1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.090610214240422465e+03,1.843772691958879022e+03,2.774843905890881615e+03,1.949556410576131611e+03,2.886105943780209600e+03,1.949556410576131611e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.949556410576131611e+03
1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,2.090610214240422465e+03,1.843772691958879022e+03,2.575094422648275213e+03
1.949556410576131611e+03,1.473640151406104906e+03,1.843772691958879022e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.843772691958879022e+03
2.090610214240422465e+03,2.332537111502635526e+03,2.230737784497279790e+03,2.888648756405968925e+03,1.949556410576131611e+03,2.332537111502635526e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.473640151406104906e+03
1.473640151406104906e+03,2.575094422648275213e+03,2.384208954936921600e+03,2.230737784497279790e+03,2.384208954936921600e+03,2.342185476692411612e+03
1.949556410576131611e+03,1.843772691958879022e+03,2.886105943780209600e+03,2.332537111502635526e+03,1.843772691958879022e+03,2.893044035846595762e+03
1.473640151406104906e+03,2.575094422648275213e+03,2.882655091555188847e+03,1.843772691958879022e+03,2.999238642292578334e+03,1.473640151406104906e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.473640151406104906e+03
2.474457216646895176e+03,1.949556410576131611e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,2.774843905890881615e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.775053981337245204e+03,2.090610214240422465e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,2.629369010635785799e+03
2.474457216646895176e+03,1.473640151406104906e+03,3.143307033775710806e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.949556410576131611e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.090610214240422465e+03,1.949556410576131611e+03,2.332537111502635526e+03,1.843772691958879022e+03,1.949556410576131611e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.949556410576131611e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.843772691958879022e+03
2.332537111502635526e+03,2.332537111502635526e+03,2.090610214240422465e+03,2.893044035846595762e+03,1.949556410576131611e+03,2.332537111502635526e+03
1.949556410576131611e+03,2.575094422648275213e+03,1.473640151406104906e+03,1.843772691958879022e+03,2.888648756405968925e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.474457216646895176e+03,1.949556410576131611e+03,2.090610214240422465e+03,2.474457216646895176e+03,1.949556410576131611e+03,2.774843905890881615e+03
1.473640151406104906e+03,1.949556410576131611e+03,2.090610214240422465e+03,3.159456785368984129e+03,1.949556410576131611e+03,1.949556410576131611e+03
2.777386718516640940e+03,3.335697759879026307e+03,3.391573763324318861e+03,2.090610214240422465e+03,2.994843362851951497e+03,2.090610214240422465e+03
2.090610214240422465e+03,2.630767019236302531e+03,2.774843905890881615e+03,2.090610214240422465e+03,2.090610214240422465e+03,2.090610214240422465e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,2.090610214240422465e+03,1.473640151406104906e+03,1.843772691958879022e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.181327434965506654e+03,2.227941104336462104e+03,3.109367401375737245e+03,2.575094422648275213e+03,3.263849599547547768e+03,3.263849599547547768e+03
1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03,1.473640151406104906e+03,1.843772691958879022e+03,1.843772691958879022e+03
2.774843905890881615e+03,2.528967692230947250e+03,2.629369010635785799e+03,2.775053981337245204e+03,2.730932450044600046e+03,2.876853308342600030e+03
1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03,1.473640151406104906e+03
2.090610214240422465e+03,2.090610214240422465e+03,2.474457216646895176e+03,2.774599523122894425e+03,3.304451410259551267e+03,2.384208954936921600e+03
3.202652083254196441e+03,2.473590915166926607e+03,3.250427873629127134e+03,2.090610214240422465e+03,2.332537111502635526e+03,1.949556410576131611e+03
